Date Farrowed,Numbers Born Alive
02/12/2019,11
02/12/2019,18
02/12/2019,18
02/12/2019,22
03/12/2019,5
03/12/2019,12
03/12/2019,13
03/12/2019,14
03/12/2019,14
03/12/2019,16
03/12/2019,16
03/12/2019,16
03/12/2019,17
03/12/2019,17
03/12/2019,17
03/12/2019,17
03/12/2019,17
03/12/2019,18
03/12/2019,19
03/12/2019,19
03/12/2019,19
03/12/2019,21
03/12/2019,21
03/12/2019,22
03/12/2019,22
03/12/2019,23
03/12/2019,23
04/12/2019,12
04/12/2019,13
04/12/2019,13
04/12/2019,14
04/12/2019,14
04/12/2019,14
04/12/2019,14
04/12/2019,15
04/12/2019,15
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,16
04/12/2019,18
04/12/2019,18
04/12/2019,18
04/12/2019,18
04/12/2019,19
04/12/2019,19
04/12/2019,20
04/12/2019,23
05/12/2019,7
05/12/2019,7
05/12/2019,10
05/12/2019,11
05/12/2019,12
05/12/2019,12
05/12/2019,12
05/12/2019,12
05/12/2019,13
05/12/2019,13
05/12/2019,14
05/12/2019,14
05/12/2019,15
05/12/2019,15
05/12/2019,15
05/12/2019,15
05/12/2019,16
05/12/2019,16
05/12/2019,16
05/12/2019,16
05/12/2019,16
05/12/2019,16
05/12/2019,17
05/12/2019,18
05/12/2019,18
05/12/2019,18
05/12/2019,19
05/12/2019,19
05/12/2019,19
05/12/2019,21
05/12/2019,22
06/12/2019,7
06/12/2019,10
06/12/2019,12
06/12/2019,12
06/12/2019,15
06/12/2019,15
06/12/2019,15
06/12/2019,15
06/12/2019,16
06/12/2019,17
06/12/2019,17
06/12/2019,19
06/12/2019,23
07/12/2019,5
07/12/2019,10
07/12/2019,11
07/12/2019,13
07/12/2019,13
07/12/2019,13
07/12/2019,14
07/12/2019,14
07/12/2019,15
07/12/2019,16
07/12/2019,18
07/12/2019,19
08/12/2019,11
08/12/2019,14
08/12/2019,14
08/12/2019,15
08/12/2019,18
