farrow/sale date,number born/slaughtered,,,,,,
28/12/2019,34,,,,,,
29/12/2019,116,,,,,,
30/12/2019,202,,,,,,
31/12/2019,246,,,,,,
01/01/2020,480,,,,,,
02/01/2020,648,,,,,,
03/01/2020,200,,,,,,
04/01/2020,55,,,,,,
05/01/2020,32,,,,,,
06/01/2020,135,,,,,,
07/01/2020,343,,,,,,
08/01/2020,708,,,,,,
09/01/2020,583,,,,,,
10/01/2020,165,,,,,,
11/01/2020,114,,,,,,
28/05/2020,-7,,,,,,
03/06/2020,-62,,,,,,
10/06/2020,-45,,,,,,
10/06/2020,-60,,,,,,
12/06/2020,-119,,,,,,
18/06/2020,-90,,,,,,
18/06/2020,-80,,,,,,
19/06/2020,-217,,,,,,
22/06/2020,-200,,,,,,
23/06/2020,-142,,,,,,
24/06/2020,-200,,,,,,
25/06/2020,-160,,,,,,
29/06/2020,-200,,,,,,
29/06/2020,-200,,,,,,
30/06/2020,-202,,,,,,
01/07/2020,-200,,,,,,
06/07/2020,-201,,,,,,
08/07/2020,-156,,,,,,
08/07/2020,-54,,,,,,
10/07/2020,-200,,,,,,
13/07/2020,-200,,,,,,
14/07/2020,-202,,,,,,
15/07/2020,-207,,,,,,
17/07/2020,-66,,,,,,
