Date Sold,Number Sold,Total Weight,Average Weight,Dead Weights,P2,birth date,Column2,Days ahead of birthing date,Column1,Warren
44028,60,7180.901857,119.6816976,90.24,11.65,43871,60,157,157,0
44039,210,26349.4695,125.4736643,94.60714286,11.75,43872,210,167,10,0
44046,209,26510.47745,126.8443897,95.64066986,12.3,43876,209,170,3,0
44048,210,25858.48806,123.1356574,92.84428571,12.67,43875,210,173,3,0
44053,105,13161.80371,125.3505116,94.51428571,12,43873,105,180,7,0
44055,180,22307.95756,123.9330976,93.44555556,12.19,43874,180,181,1,0
44060,180,21970.02653,122.0557029,92.03,11.72,43879,180,181,0,0
44062,190,23472.9443,123.5418121,93.15052632,11.49,43878,190,184,3,0
44064,384,47114.85411,122.6949326,92.51197917,11.49,43877,384,187,3,0
44067,190,21312.33422,112.1701801,84.57631579,10.73,43880,190,187,0,0
